timestamp,eeg1,eeg2,eeg3,eeg4,eeg5(aux)
1578460427.3446407,0.0,0.0,0.0,0.0,0.0
1578460427.3446407,0.0,0.0,0.0,0.0,0.0
1578460427.3446407,-31.73828125,-31.73828125,-27.83203125,-34.1796875,0.0
1578460427.3446407,69.3359375,69.3359375,58.10546875,78.61328125,0.0
1578460427.3446407,-392.578125,-391.6015625,-343.75,-346.19140625,0.0
1578460427.3446407,-1000.0,-1000.0,-912.109375,-1000.0,0.0
1578460427.3446407,-983.88671875,-991.2109375,-980.46875,-115.72265625,0.0
1578460427.3446407,-974.12109375,-985.3515625,-942.87109375,-832.03125,0.0
1578460427.3446407,-992.1875,-997.55859375,-852.05078125,-14.6484375,0.0
1578460427.3446407,-993.1640625,-987.79296875,-919.921875,-1000.0,0.0
1578460427.3446407,-990.72265625,-994.140625,-999.51171875,-351.5625,0.0
1578460427.3446407,-988.76953125,-1000.0,-951.171875,-932.6171875,0.0
1578460427.3915157,-991.2109375,-993.65234375,-879.39453125,54.19921875,0.0
1578460427.3915157,-991.69921875,-981.93359375,-924.8046875,-1000.0,1.953125
1578460427.3915157,-989.74609375,-989.2578125,-978.515625,-721.6796875,-18.5546875
1578460427.3915157,-990.234375,-1000.0,-958.0078125,791.50390625,29.296875
1578460427.3915157,-993.1640625,-994.62890625,-954.1015625,303.22265625,-196.2890625
1578460427.3915157,-990.72265625,-971.19140625,-838.37890625,-1000.0,-623.046875
1578460427.3915157,-990.234375,-970.21484375,-839.84375,-816.89453125,-1000.0
1578460427.3915157,-989.2578125,-995.1171875,-767.578125,734.375,-491.69921875
1578460427.3915157,-994.62890625,-987.3046875,-704.58984375,445.3125,-138.18359375
1578460427.3915157,-995.1171875,-958.984375,-985.83984375,-994.140625,-994.140625
1578460427.3915157,-988.76953125,-963.8671875,-1000.0,-1000.0,-1000.0
1578460427.3915157,-989.74609375,-979.00390625,-977.5390625,45.8984375,-398.4375
1578460427.4383907,-992.67578125,-974.12109375,-998.53515625,812.5,-212.890625
1578460427.4383907,-990.72265625,-955.56640625,-1000.0,-625.0,-1000.0
